operation,address_mode,opcode,bytes,cycle_count
ADC,IMM,69,2,2
ADC,ZP,65,2,3
ADC,ZPX,75,2,4
ADC,ABS,6D,3,4
ADC,ABX,7D,3,4
ADC,ABY,79,3,4
ADC,IDX,61,2,6
ADC,IDY,71,2,5
AND,IMM,29,2,2
AND,ZP,25,2,3
AND,ZPX,35,2,4
AND,ABS,2D,3,4
AND,ABX,3D,3,4
AND,ABY,39,3,4
AND,IDX,21,2,6
AND,IDY,31,2,5
ASL,ACC,0A,1,2
ASL,ZP,06,2,5
ASL,ZPX,16,2,6
ASL,ABS,0E,3,6
ASL,ABX,1E,3,7
BCC,REL,90,2,2
BCS,REL,B0,2,2
BEQ,REL,F0,2,2
BIT,ZP,24,2,3
BIT,ABS,2C,3,4
BMI,REL,30,2,2
BNE,REL,D0,2,2
BPL,REL,10,2,2
BRK,IMP,00,1,7
BVC,REL,50,2,2
BVS,REL,70,2,2
CLC,IMP,18,1,2
CLD,IMP,D8,1,2
CLI,IMP,58,1,2
CLV,IMP,B8,1,2
CMP,IMM,C9,2,2
CMP,ZP,C5,2,3
CMP,ZPX,D5,2,4
CMP,ABS,CD,3,4
CMP,ABX,DD,3,4
CMP,ABY,D9,3,4
CMP,IDX,C1,2,6
CMP,IDY,D1,2,5
CPX,IMM,E0,2,2
CPX,ZP,E4,2,3
CPX,ABS,EC,3,4
CPY,IMM,C0,2,2
CPY,ZP,C4,2,3
CPY,ABS,CC,3,4
DEC,ZP,C6,2,5
DEC,ZPX,D6,2,6
DEC,ABS,CE,3,6
DEC,ABX,DE,3,7
DEX,IMP,CA,1,2
DEY,IMP,88,1,2
EOR,IMM,49,2,2
EOR,ZP,45,2,3
EOR,ZPX,55,2,4
EOR,ABS,4D,3,4
EOR,ABX,5D,3,4
EOR,ABY,59,3,4
EOR,IDX,41,2,6
EOR,IDY,51,2,5
INC,ZP,E6,2,5
INC,ZPX,F6,2,6
INC,ABS,EE,3,6
INC,ABX,FE,3,7
INX,IMP,E8,1,2
INY,IMP,C8,1,2
JMP,ABS,4C,3,3
JMP,IND,6C,3,5
JSR,ABS,20,3,6
LDA,IMM,A9,2,2
LDA,ZP,A5,2,3
LDA,ZPX,B5,2,4
LDA,ABS,AD,3,4
LDA,ABX,BD,3,4
LDA,ABY,B9,3,4
LDA,IDX,A1,2,6
LDA,IDY,B1,2,5
LDX,IMM,A2,2,2
LDX,ZP,A6,2,3
LDX,ZPY,B6,2,4
LDX,ABS,AE,3,4
LDX,ABY,BE,3,4
LDY,IMM,A0,2,2
LDY,ZP,A4,2,3
LDY,ZPX,B4,2,4
LDY,ABS,AC,3,4
LDY,ABX,BC,3,4
LSR,ACC,4A,1,2
LSR,ZP,46,2,5
LSR,ZPX,56,2,6
LSR,ABS,4E,3,6
LSR,ABX,5E,3,7
NOP,IMP,EA,1,2
ORA,IMM,09,2,2
ORA,ZP,05,2,3
ORA,ZPX,15,2,4
ORA,ABS,0D,3,4
ORA,ABX,1D,3,4
ORA,ABY,19,3,4
ORA,IDX,01,2,6
ORA,IDY,11,2,5
PHA,IMP,48,1,3
PHP,IMP,08,1,3
PLA,IMP,68,1,4
PLP,IMP,28,1,4
ROL,ACC,2A,1,2
ROL,ZP,26,2,5
ROL,ZPX,36,2,6
ROL,ABS,2E,3,6
ROL,ABX,3E,3,7
ROR,ACC,6A,1,2
ROR,ZP,66,2,5
ROR,ZPX,76,2,6
ROR,ABS,6E,3,6
ROR,ABX,7E,3,7
RTI,IMP,40,1,6
RTS,IMP,60,1,6
SBC,IMM,E9,2,2
SBC,ZP,E5,2,3
SBC,ZPX,F5,2,4
SBC,ABS,ED,3,4
SBC,ABX,FD,3,4
SBC,ABY,F9,3,4
SBC,IDX,E1,2,6
SBC,IDY,F1,2,5
SEC,IMP,38,1,2
SED,IMP,F8,1,2
SEI,IMP,78,1,2
STA,ZP,85,2,3
STA,ZPX,95,2,4
STA,ABS,8D,3,4
STA,ABX,9D,3,5
STA,ABY,99,3,5
STA,IDX,81,2,6
STA,IDY,91,2,6
STX,ZP,86,2,3
STX,ZPY,96,2,4
STX,ABS,8E,3,4
STY,ZP,84,2,3
STY,ZPX,94,2,4
STY,ABS,8C,3,4
TAX,IMP,AA,1,2
TAY,IMP,A8,1,2
TSX,IMP,BA,1,2
TXA,IMP,8A,1,2
TXS,IMP,9A,1,2
TYA,IMP,98,1,2
